X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,
M,1/3/25 21:30,12/31/24,NYC,American Strategic Investment Co.,Schorsch Nicholas S,10%,P - Purchase,$8.76 ,"4,336","1,474,293",0%,"$37,991 ",,,,,
,1/3/25 21:11,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Clem Jackie B.,"GC, Secretary",D - Sale to issuer,$0.00 ,-959,"44,817",-2%,$0 ,,,,,
,1/3/25 21:11,1/2/25,ARE,"Alexandria Real Estate Equities, Inc.",Clem Jackie B.,"GC, Secretary",A - Grant,$0.00 ,790,"44,817",2%,$0 ,,,,,
,1/3/25 20:15,1/2/25,SLG,Sl Green Realty Corp,Hatkoff Craig M,Dir,A - Grant,$0.00 ,"3,437","5,507",166%,$0 ,,,,,
,1/3/25 20:13,1/2/25,SLG,Sl Green Realty Corp,Dillard Lauren B.,Dir,A - Grant,$0.00 ,"3,427","15,444",29%,$0 ,,,,,
,1/3/25 20:11,1/2/25,SLG,Sl Green Realty Corp,Brown Carol N,Dir,A - Grant,$0.00 ,"3,437","3,437",New,$0 ,,,,,
,1/3/25 19:05,1/2/25,PINE,"Alpine Income Property Trust, Inc.",Wadleigh Brenna Andrea,Dir,A - Grant,$17.03 ,516,516,New,"$8,789 ",,,,,
,1/3/25 19:00,1/2/25,CTO,"Cto Realty Growth, Inc.",Brokaw George R,Dir,A - Grant,$19.98 ,"1,000","89,319",1%,"$19,981 ",,,,,
,1/3/25 19:00,1/2/25,CTO,"Cto Realty Growth, Inc.",Franklin Laura M,Dir,A - Grant,$19.98 ,625,"51,168",1%,"$12,488 ",,,,,
,1/3/25 19:00,1/2/25,CTO,"Cto Realty Growth, Inc.",Gable Robert Blakeslee,Dir,A - Grant,$19.98 ,954,"39,965",2%,"$19,061 ",,,,,
,1/3/25 19:00,1/2/25,CTO,"Cto Realty Growth, Inc.",Haga Christopher W,Dir,A - Grant,$19.98 ,"1,047","47,124",2%,"$20,920 ",,,,,
,1/3/25 19:00,1/2/25,CTO,"Cto Realty Growth, Inc.",Drew Christopher J,Dir,A - Grant,$19.98 ,813,"16,261",5%,"$16,244 ",,,,,
,1/3/25 18:07,1/1/25,HR,Healthcare Realty Trust Inc,Helfrich Austen B.,"EVP, CFO",A - Grant,$16.94 ,"3,984","27,735",17%,"$67,489 ",,,,,
,1/3/25 17:38,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Alsbrook Madeleine Thorp,EVP - Talent Management,D - Sale to issuer,$0.00 ,-608,"22,161",-3%,$0 ,,,,,
